User 1,0.93,1.8,2.29,0.8,2.42,1.82,2.42
User 2,1.02,2.2,2.66,1.42,3.18,1.86,2.32
User 3,1.22,0.8,0.54,0.24,1.54,1.31,2.5
User 4,0.45,1.8,0.29,0.46,1.52,1.57,2.86
User 5,0.51,1.2,1.18,1.54,2.02,1.18,2.54
User 6,0.99,1.28,0.72,0.74,1.26,1.66,3.66
User 7,0.9,1.36,0.26,0.86,1.58,1.22,3.22
User 8,0.74,1.4,0.22,0.82,1.5,1.54,2.88
User 9,1.12,1.76,1.04,0.82,2.14,1.41,2.54
User 10,0.7,1.36,0.22,1.5,1.54,2.24,3.12
User 11,1.47,1,0.7,1.66,2.76,1.66,2.62
User 12,0.96,2.96,0.29,0.88,2.08,1.66,3.42
User 13,0.74,1.44,2.75,0.98,1.74,1.38,2.34
User 14,0.58,1.64,2.27,1.26,1.72,2.3,2.74
User 15,0.96,1.68,2.29,1.2,2.84,2.02,2.46
User 16,1.25,2.52,1.76,1.46,2.08,1.41,2.32
User 17,0.86,1.04,1.76,0.06,1.1,1.15,2.98
User 18,0.61,1.96,2.49,1.34,1.78,1.15,2.42
User 19,0.67,1.36,1.36,0.82,3.38,1.79,2.8
User 20,0.8,1.04,2.1,1.18,1.98,1.22,2.48
User 21,0.86,1.44,1.12,1.2,2.18,1.06,2.94
User 22,0.96,1.44,0.14,1.06,2.08,1.15,3.22
User 23,0.93,1.16,0.29,1.02,1.36,1.34,3.66
User 24,0.54,1.44,0.3,1.02,1.46,1.73,3.04
User 25,1.22,0.96,1.15,1.1,2.02,1.92,2.46
User 26,0.61,2.84,2.8,0.56,1.52,1.6,2.54
User 27,0.77,1.68,2.24,1.28,2.64,1.34,2.38
User 28,0.99,1.28,1.22,0.94,1.9,1.22,2.4
User 29,0.58,1.2,0.18,0.54,0.76,1.63,2.94
User 30,0.64,1.16,3.12,1.84,3.16,1.54,2.46
User 31,0.74,1.28,2.14,0.94,2.26,1.5,2.34
User 32,0.7,2.24,2.32,0.72,2.12,1.28,2.42
User 33,0.64,2,1.6,2.08,2.22,1.76,2.72
User 34,1.06,1.12,0.21,0.98,2.5,1.92,2.74
User 35,0.96,1.16,0.45,0.98,1.42,2.02,3.02
User 36,0.88,0.96,1.18,0.74,1.52,1.63,2.94
User 37,0.7,1.28,1.15,0.4,1.1,1.76,2.9
User 38,1.02,1.36,0.91,0.72,1.22,1.92,3.2
User 39,0.7,1.52,2.37,0.86,1.68,1.6,2.58
User 40,1.38,1.08,0.18,0.14,1.46,1.66,2.42
User 41,0.99,1.24,0.15,1.38,1.98,1.02,3.06
User 42,0.58,1.48,0.19,0.5,0.98,1.57,3.38
User 43,0.67,1.24,0.61,1.06,1.9,1.25,2.88
User 44,1.02,2,0.42,0.46,2.06,2.05,2.66
User 45,0.64,1.64,0.34,0.64,2.22,1.98,2.8
User 46,1.7,1.4,0.61,0.7,1.46,1.82,3.38
User 47,0.38,1.08,0.77,1.06,1.46,2.18,3.22
User 48,0.9,1.2,1.24,0.88,1.86,1.47,2.94
User 49,0.45,2.96,0.26,0.56,1.68,1.44,2.72
User 50,0.61,1.08,2.22,1.2,2.06,1.31,2.34
User 51,1.02,1.2,0.3,1.1,1.9,1.34,3.42
User 52,0.42,1.48,2.06,0.96,1.4,1.76,2.86
User 53,0.8,1.88,0.66,2.54,2.18,1.89,3.02
User 54,1.02,0.64,1.12,0.8,1.82,1.5,2.56
User 55,1.02,1.2,0.37,0.54,1.7,1.66,3.42
User 56,0.61,1.68,0.46,0.86,1.1,1.31,3.12
User 57,0.8,1.16,2.43,1.06,2.28,1.44,2.48
User 58,0.93,1.48,0.78,0.7,1.7,1.41,2.88
User 59,0.64,1.2,2.27,1.42,2.83,1.47,2.38
User 60,0.83,1.4,1.23,1.2,2.54,1.6,2.54
User 61,1.06,1.92,3.11,1.46,3.24,1.28,2.34
User 62,1.98,0.96,0.18,0.16,0.82,1.02,2.78
User 63,0.9,1.12,0.22,0.32,1.1,2.08,2.96
User 64,0.51,1.6,0.37,0.48,1.36,1.34,3.04
User 65,1.41,1.12,0.68,1.14,1.76,1.5,3.01
